2014-07-26 0:31:07 - PHP Warning:  session_start(): open(C:/AppServ/Temp/php/php_session_temp\sess_n2tdt2u2jsjpshdj0j8lbo5tj7, O_RDWR) failed: No such file or directory (2) in C:\AppServ\Apache2.2\htdocs\opencart\system\library\session.php on line 11
2014-07-26 17:22:09 - PHP Notice:  Error: Unable to find the socket transport "ssl" - did you forget to enable it when you configured PHP? (91718600) in C:\AppServ\Apache2.2\htdocs\opencart\system\library\mail.php on line 156
2014-07-26 17:22:11 - PHP Warning:  fsockopen(): unable to connect to ssl://smtp.gmail.com:465 (Unable to find the socket transport "ssl" - did you forget to enable it when you configured PHP?) in C:\AppServ\Apache2.2\htdocs\opencart\system\library\mail.php on line 153
2014-07-26 17:22:11 - PHP Notice:  Error: Unable to find the socket transport "ssl" - did you forget to enable it when you configured PHP? (91718600) in C:\AppServ\Apache2.2\htdocs\opencart\system\library\mail.php on line 156
2014-07-26 17:24:11 - PHP Warning:  mail(): Failed to connect to mailserver at "localhost" port 25, verify your "SMTP" and "smtp_port" setting in php.ini or use ini_set() in C:\AppServ\Apache2.2\htdocs\opencart\system\library\mail.php on line 150
2014-07-26 18:07:36 - PHP Warning:  mail(): Failed to connect to mailserver at "localhost" port 25, verify your "SMTP" and "smtp_port" setting in php.ini or use ini_set() in C:\AppServ\Apache2.2\htdocs\opencart\system\library\mail.php on line 150
2014-07-26 18:07:37 - PHP Warning:  mail(): Failed to connect to mailserver at "localhost" port 25, verify your "SMTP" and "smtp_port" setting in php.ini or use ini_set() in C:\AppServ\Apache2.2\htdocs\opencart\system\library\mail.php on line 150
2014-07-27 21:03:46 - PHP Warning:  mail(): Failed to connect to mailserver at "localhost" port 465, verify your "SMTP" and "smtp_port" setting in php.ini or use ini_set() in C:\AppServ\Apache2.2\htdocs\opencart\system\library\mail.php on line 150
2014-07-27 21:18:39 - PHP Warning:  mail(): Failed to connect to mailserver at "localhost" port 465, verify your "SMTP" and "smtp_port" setting in php.ini or use ini_set() in C:\AppServ\Apache2.2\htdocs\opencart\system\library\mail.php on line 150
2014-07-27 21:19:40 - PHP Warning:  mail(): Failed to connect to mailserver at "localhost" port 465, verify your "SMTP" and "smtp_port" setting in php.ini or use ini_set() in C:\AppServ\Apache2.2\htdocs\opencart\system\library\mail.php on line 150
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_name in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 12
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_name in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 15
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 20
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 26
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 20
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 26
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 26
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 20
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 26
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 26
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 20
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 26
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 26
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 32
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 32
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 26
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 26
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 26
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 20
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 20
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_category_id in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 20
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_sub_category in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 41
2014-07-28 0:10:31 - PHP Notice:  Undefined variable: filter_description in C:\AppServ\Apache2.2\htdocs\opencart\catalog\view\theme\malian\template\product\search.tpl on line 48
